"Time","Accel","Gyro"
"0,000","0.0","0.5"
"0,001","9.999998333333417E-4","0.49999975000002084"
"0,002","0.0019999986666669333","0.4999990000003333"
"0,003","0.002999995500002025","0.4999977500016875"
"0,004","0.003999989333341867","0.49999600000533334"
"0,005","0.004999979166692708","0.4999937500130208"
"0,006","0.0059999640000648","0.499991000027"
"0,007","0.006999942833473391","0.4999877500500208"
"0,008","0.007999914666939733","0.49998400008533317"
"0,009","0.008999878500492076","0.4999797501366871"
"0,010","0.009999833334166666","0.49997500020833263"
"0,011","0.010999778168008758","0.4999697503050196"
"0,012","0.011999712002073597","0.4999640004319979"
"0,013","0.012999633836427434","0.49995775059501746"
"0,014","0.013999542671148517","0.4999510008003281"
"0,015","0.014999437506328097","0.4999437510546796"
"0,016","0.015999317342071422","0.4999360013653217"
"0,017","0.016999181178498735","0.4999277517400041"
"0,018","0.017999028015746286","0.4999190021869764"
"0,019","0.018998856853967325","0.49990975271498816"
"0,020","0.01999866669333309","0.4999000033332889"
"0,021","0.02099845653403383","0.49988975405162794"
"0,022","0.021998225376279785","0.4998790048802546"
"0,023","0.022997972220302195","0.49986775582991805"
"0,024","0.023997696066354303","0.49985600691186727"
"0,025","0.024997395914712346","0.4998437581378513"
"0,026","0.025997070765676557","0.49983100952011883"
"0,027","0.026996719619572167","0.49981776107141845"
"0,028","0.027996341476750407","0.4998040128049987"
"0,029","0.028995935337589505","0.4997897647346078"
"0,030","0.02999550020249568","0.49977501687449377"
"0,031","0.030995035071904153","0.4997597692394045"
"0,032","0.03199453894628014","0.4997440218445877"
"0,033","0.03299401082611984","0.49972777470579066"
"0,034","0.03399344971195147","0.4997110278392606"
"0,035","0.03499285460433622","0.4996937812617443"
"0,036","0.035992224503869276","0.4996760349904884"
"0,037","0.03699155841118083","0.4996577890432391"
"0,038","0.03799085532693706","0.49963904343824245"
"0,039","0.038990114251841124","0.499619798194244"
"0,040","0.03998933418663419","0.49960005333048896"
"0,041","0.0409885141320964","0.49957980886672226"
"0,042","0.04198765308904789","0.4995590648231883"
"0,043","0.042986750058349794","0.4995378212206311"
"0,044","0.04398580404090522","0.4995160780802944"
"0,045","0.04498481403766027","0.49949383542392123"
"0,046","0.04598377904960503","0.4994710932737542"
"0,047","0.046982698077774575","0.4994478516525356"
"0,048","0.04798157012324996","0.4994241105835069"
"0,049","0.048980394187159215","0.49939987009040926"
"0,050","0.049979169270678366","0.49937513019748314"
"0,051","0.05097789437503241","0.4993498909294684"
"0,052","0.05197656850149633","0.49932415231160443"
"0,053","0.05297519065139608","0.49929791436962967"
"0,054","0.053973759826109594","0.4992711771297822"
"0,055","0.05497227502706777","0.4992439406187992"
"0,056","0.055970735255755515","0.4992162048639172"
"0,057","0.05696913951371266","0.4991879698928719"
"0,058","0.05796748680253504","0.4991592357338983"
"0,059","0.05896577612387545","0.49913000241573063"
"0,060","0.059964006479444644","0.4991002699676021"
"0,061","0.06096217687101236","0.4990700384192452"
"0,062","0.061960286300408285","0.49903930780089145"
"0,063","0.06295833376952306","0.49900807814327147"
"0,064","0.06395631828030933","0.498976349477615"
"0,065","0.06495423883478264","0.49894412183565057"
"0,066","0.06595209443502253","0.49891139524960587"
"0,067","0.06694988408317348","0.49887816975220756"
"0,068","0.06794760678144594","0.49884444537668104"
"0,069","0.06894526153211727","0.4988102221567507"
"0,070","0.06994284733753281","0.4987755001266398"
"0,071","0.07094036320010684","0.4987402793210703"
"0,072","0.07193780812232359","0.49870455977526307"
"0,073","0.07293518110673822","0.4986683415249376"
"0,074","0.0739324811559778","0.4986316246063122"
"0,075","0.0749297072727424","0.4985944090561037"
"0,076","0.07592685845980596","0.49855669491152776"
"0,077","0.07692393372001739","0.4985184822102984"
"0,078","0.07792093205630152","0.4984797709906284"
"0,079","0.07891785247166008","0.49844056129122893"
"0,080","0.07991469396917275","0.49840085315130966"
"0,081","0.08091145555199811","0.49836064661057883"
"0,082","0.08190813622337464","0.49831994170924293"
"0,083","0.08290473498662179","0.49827873848800686"
"0,084","0.08390125084514087","0.49823703698807376"
"0,085","0.08489768280241608","0.4981948372511452"
"0,086","0.08589402986201558","0.498152139319421"
"0,087","0.08689029102759237","0.4981089432355989"
"0,088","0.08788646530288537","0.4980652490428751"
"0,089","0.08888255169172038","0.49802105678494374"
"0,090","0.08987854919801111","0.49797636650599714"
"0,091","0.09087445682576015","0.49793117825072547"
"0,092","0.09187027357905991","0.4978854920643171"
"0,093","0.09286599846209377","0.4978393079924581"
"0,094","0.0938616304791369","0.4977926260813327"
"0,095","0.09485716863455737","0.49774544637762264"
"0,096","0.0958526119328171","0.49769776892850764"
"0,097","0.0968479593784729","0.49764959378166523"
"0,098","0.09784320997617739","0.4976009209852705"
"0,099","0.09883836273068006","0.4975517505879963"
"0,100","0.09983341664682822","0.49750208263901285"
"0,101","0.10082837072956807","0.4974519171879883"
"0,102","0.10182322398394558","0.497401254285088"
"0,103","0.10281797541510761","0.4973500939809749"
"0,104","0.10381262402830277","0.49729843632680926"
"0,105","0.10480716882888257","0.4972462813742487"
"0,106","0.10580160882230227","0.49719362917544824"
"0,107","0.10679594301412196","0.49714047978306003"
"0,108","0.10779017041000755","0.49708683325023345"
"0,109","0.10878429001573169","0.49703268963061503"
"0,110","0.1097783008371749","0.4969780489783484"
"0,111","0.11077220188032641","0.49692291134807426"
"0,112","0.11176599215128527","0.49686727679493015"
"0,113","0.11275967065626129","0.4968111453745506"
"0,114","0.11375323640157606","0.4967545171430671"
"0,115","0.1147466883936639","0.4966973921571079"
"0,116","0.11574002563907292","0.4966397704737979"
"0,117","0.11673324714446592","0.49658165215075883"
"0,118","0.11772635191662154","0.496523037246109"
"0,119","0.11871933896243503","0.49646392581846327"
"0,120","0.11971220728891946","0.4964043179269331"
"0,121","0.12070495590320657","0.4963442136311264"
"0,122","0.12169758381254783","0.4962836129911474"
"0,123","0.12269009002431543","0.49622251606759676"
"0,124","0.12368247354600323","0.49616092292157143"
"0,125","0.12467473338522778","0.4960988336146645"
"0,126","0.12566686854972933","0.49603624820896536"
"0,127","0.12665887804737283","0.49597316676705927"
"0,128","0.12765076088614882","0.4959095893520278"
